,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,narsaq,9,GL,1570674748,69,60.91,-46.05,275.15,2.401
1,angoram,100,PG,1570674748,77,-4.06,144.07,302.61,1.64
2,boca do acre,100,BR,1570674748,88,-8.76,-67.39,295.83,0.573
3,ust-kuyga,99,RU,1570674748,91,70.0,135.55,258.18,2.54
4,coquimbo,75,CL,1570674618,87,-29.95,-71.34,290.37,2.1
5,busselton,10,AU,1570674492,45,-33.64,115.35,297.04,4.252
6,barabinsk,81,RU,1570674749,63,55.35,78.35,279.62,5.39
7,palmer,20,AU,1570674749,51,-34.85,139.16,293.71,5.7
8,hobart,40,AU,1570674509,62,-42.88,147.33,288.15,6.7
9,lorengau,15,PG,1570674518,70,-2.02,147.27,302.09,0.737
10,kahului,40,US,1570674634,55,20.89,-156.47,305.15,6.7
11,carnarvon,0,ZA,1570674602,75,-30.97,22.13,276.27,8.506
12,shizuishan,100,CN,1570674750,30,39.02,106.36,290.31,1.538
13,hithadhoo,48,MV,1570674441,75,-0.6,73.08,301.19,4.701
14,vanavara,85,RU,1570674750,60,60.35,102.28,267.8,3.14
15,vaini,40,IN,1570674549,94,15.34,74.49,294.15,1.437
16,cape town,0,ZA,1570674444,62,-33.93,18.42,285.93,7.7
17,severo-kurilsk,100,RU,1570674493,95,50.68,156.12,279.54,17.628
18,saskylakh,93,RU,1570674516,94,71.97,114.09,262.3,6.006
19,mataura,100,NZ,1570674443,90,-46.19,168.86,282.59,4.02
20,hamilton,5,CA,1570674750,71,43.26,-79.87,287.59,4.1
21,arlit,100,NE,1570674612,40,18.74,7.39,302.36,4.851
22,bluff,0,AU,1570674541,32,-23.58,149.07,300.82,2.373
23,hami,100,CN,1570674751,17,42.84,93.51,293.11,3.442
24,anadyr,0,RU,1570674751,63,64.73,177.51,272.15,4.0
25,hasaki,75,JP,1570674597,60,35.73,140.83,297.04,4.6
26,georgetown,20,GY,1570674518,94,6.8,-58.16,298.15,2.1
27,norman wells,75,CA,1570674506,98,65.28,-126.83,274.15,2.6
28,karratha,88,AU,1570674751,62,-20.74,116.85,299.57,8.072
29,novovorontsovka,62,UA,1570674752,88,47.5,33.92,285.68,7.189
30,geraldton,20,CA,1570674752,66,49.72,-86.95,286.15,3.6
31,saint-philippe,75,CA,1570674543,76,45.36,-73.48,284.82,3.6
32,bethel,75,US,1570674497,65,60.79,-161.76,280.15,6.2
33,leningradskiy,29,RU,1570674692,74,69.38,178.42,271.12,8.233
34,ushuaia,40,AR,1570674469,97,-54.81,-68.31,276.15,5.1
35,pimentel,0,BR,1570674752,84,-3.7,-45.5,296.34,2.439
36,williams lake,40,CA,1570674752,50,52.13,-122.14,272.15,2.6
37,mahebourg,75,MU,1570674631,73,-20.41,57.7,295.93,7.7
38,sur,0,OM,1570674753,47,22.57,59.53,301.3,2.568
39,bull savanna,100,JM,1570674753,92,17.89,-77.59,295.89,1.231
40,hermanus,0,ZA,1570674452,94,-34.42,19.24,282.59,5.37
41,aykhal,90,RU,1570674431,79,65.95,111.51,266.15,6.0
42,albany,75,US,1570674444,62,42.65,-73.75,285.37,2.1
43,rikitea,100,PF,1570674441,60,-23.12,-134.97,293.79,4.274
44,cap malheureux,75,MU,1570674757,73,-19.98,57.61,295.93,7.7
45,tazmalt,0,DZ,1570674757,87,36.39,4.4,287.15,5.1
46,egvekinot,0,RU,1570674636,69,66.32,-179.17,265.67,1.345
47,upernavik,23,GL,1570674757,48,72.79,-56.15,269.92,2.048
48,mariental,75,BR,1570674757,93,-25.72,-49.65,288.71,2.1
49,batavia,1,US,1570674758,87,43.0,-78.19,284.26,2.1
50,santa vitoria do palmar,100,BR,1570674758,81,-33.52,-53.37,289.66,2.642
51,umm lajj,0,SA,1570674637,26,25.02,37.27,302.68,3.072
52,santa maria,75,BR,1570674758,69,-16.02,-48.01,297.15,2.6
53,eyl,40,SO,1570674758,85,7.98,49.82,299.61,3.867
54,atuona,82,PF,1570674444,73,-9.8,-139.03,299.01,1.702
55,dikson,73,RU,1570674758,87,73.51,80.55,271.34,11.061
56,faanui,70,PF,1570674626,81,-16.48,-151.75,297.48,8.134
57,ancud,90,CL,1570674615,93,-41.87,-73.83,283.15,5.1
58,waseca,1,US,1570674759,54,44.08,-93.51,290.15,4.1
59,buchanan,75,LR,1570674759,94,5.88,-10.05,297.15,1.216
60,nikolskoye,90,RU,1570674557,86,59.7,30.79,278.15,3.0
61,hagi,0,JP,1570674759,49,34.43,131.51,303.71,2.6
62,ponta do sol,97,BR,1570674487,93,-20.63,-46.0,291.79,3.314
63,arraial do cabo,100,BR,1570674600,88,-22.97,-42.02,294.7,2.39
64,jamestown,52,AU,1570674493,23,-33.21,138.6,294.04,2.176
65,mar del plata,0,AR,1570674600,40,-46.43,-67.52,284.89,8.782
66,punta arenas,40,CL,1570674437,74,-53.16,-70.91,276.15,12.9
67,tasiilaq,95,GL,1570674445,80,65.61,-37.64,275.15,1.0
68,deputatskiy,100,RU,1570674686,92,69.3,139.9,260.57,0.978
